Date,Season,HomeTeam,AwayTeam,FTH Goals,FTA Goals,FT Result,FT_Result,HomeTeam_Elo,AwayTeam_Elo,Home_Strength,Away_Strength,H2H_Home_Wins,H2H_Away_Wins,H2H_Draws,Home_vs_Away_Wins,Home_vs_Away_Draws,Home_vs_Away_Avg_Goals,H2H_Avg_Home_Goals,H2H_Avg_Away_Goals,Home_Team_Rank,Away_Team_Rank
1993-09-25,1993,Oldham,Aston Villa,1,1,D,0,1449.0202904660198,1540.551082695337,-904.0187672942478,592.3955799749045,0,0,0,0,0,0,1.0,1.0,21,10
1993-09-25,1993,Arsenal,Southampton,1,0,H,1,1552.387393734917,1408.524775875992,588.3108446554414,-916.8402538128137,0,0,0,0,0,0,1.6956521739130435,1.1304347826086956,4,18
1993-09-25,1993,Blackburn,Sheffield Weds,1,1,D,0,1520.0504809761035,1464.7351584054904,297.5458483729948,-315.57846191889473,0,0,0,0,0,0,2.272727272727273,0.9090909090909091,2,7
1993-09-25,1993,Sheffield United,Man City,0,1,A,-1,1459.4152649308428,1492.7401726188307,-303.8737056863256,-29.720908190529325,0,0,0,0,0,0,0.4444444444444444,0.6666666666666666,20,16
1993-09-25,1993,Newcastle,West Ham,2,0,H,1,1518.8410059164053,1464.1654921360175,594.5872488523707,-14.455506204483617,0,0,0,0,0,0,1.6730769230769231,1.3846153846153846,3,13
1993-09-25,1993,Man United,Swindon,4,2,H,1,1572.4043742666588,1426.5665863911943,891.0544054902741,-589.3173178435967,0,0,0,0,0,0,4.0,2.0,1,22
1993-09-25,1993,Coventry,Leeds,0,2,A,-1,1519.820958834183,1530.5967449555342,304.50634995568123,262.0640702554048,0,0,0,0,0,0,1.6666666666666667,1.1333333333333333,11,5
1993-09-25,1993,Chelsea,Liverpool,1,0,H,1,1522.3479294055874,1478.429113935316,603.5768247389327,-932.1956144205371,0,0,0,0,0,0,1.5,0.967741935483871,14,9
1993-09-25,1993,Everton,Norwich,1,5,A,-1,1508.8018952905854,1525.0246688635698,-323.3058964840276,-0.06124514875223212,0,0,0,0,0,0,1.4705882352941178,1.1764705882352942,17,12
1993-09-26,1993,Ipswich,Tottenham,2,2,D,0,1496.4665073032957,1522.396609695753,-927.1365172120677,290.8426109562325,0,0,0,0,0,0,2.0,1.25,19,15
1993-09-27,1993,Wimbledon,QPR,1,1,D,0,1537.3690839112005,1489.3444093911655,586.3693374020521,-4.0069610666244895,0,0,0,0,0,0,0.6,1.6,6,8
1993-10-02,1993,Aston Villa,Newcastle,0,2,A,-1,1524.615001353345,1534.7770872583974,900.7744902926758,582.3930933788263,0,0,0,0,0,0,1.5925925925925926,0.8333333333333334,10,3
1993-10-02,1993,Leeds,Wimbledon,4,0,H,1,1545.8890933064304,1522.0767355603043,872.0117920214509,886.8586653228567,0,0,0,0,0,0,1.6153846153846154,0.7692307692307693,5,6
1993-10-02,1993,Norwich,Coventry,1,0,H,1,1539.8000234397653,1505.0456042579876,-3.4622717175944673,-1.6129990354256278,0,0,0,0,0,0,1.3333333333333333,0.3333333333333333,12,11
1993-10-02,1993,Sheffield Weds,Man United,2,3,A,-1,1454.240308104754,1582.8992245673953,-17.962589146234496,876.5071874919792,0,0,0,0,0,0,2.4615384615384617,0.6153846153846154,7,1
1993-10-02,1993,QPR,Ipswich,3,0,H,1,1504.6518520128568,1481.1590646816044,293.7296101006692,-620.5496403718323,0,0,0,0,0,0,1.6666666666666667,1.6666666666666667,8,19
1993-10-02,1993,West Ham,Chelsea,1,0,H,1,1481.654208981868,1504.859212559737,-609.6218355294502,605.1179802917435,0,0,0,0,0,0,1.5892857142857142,1.1607142857142858,13,14
1993-10-02,1993,Southampton,Sheffield United,3,3,D,0,1410.706315666764,1457.2337251400706,-1515.809364242404,-901.9268644911615,0,0,0,0,0,0,1.8,1.0,18,20
1993-10-02,1993,Liverpool,Arsenal,0,0,D,0,1481.5747790477878,1549.2417286224452,-930.7946195681368,573.1125338388041,0,0,0,0,0,0,1.8870967741935485,1.1290322580645162,9,4
1993-10-02,1993,Swindon,Blackburn,1,3,A,-1,1415.507951189876,1531.1091161774218,-609.5292699738404,5.938079816845902,0,0,0,0,0,0,1.0,3.0,22,2
1993-10-03,1993,Tottenham,Everton,3,2,H,1,1536.8099780529378,1494.3885269334007,-14.155131987947243,-329.95982090410916,0,0,0,0,0,0,1.435483870967742,1.1129032258064515,15,17
1993-10-04,1993,Man City,Oldham,1,1,D,0,1490.862533735778,1450.8979293490725,567.5492961782511,-904.0187672942478,0,0,0,0,0,0,1.0,1.0,16,21
1993-10-16,1993,Coventry,Southampton,1,1,D,0,1501.069881156088,1414.6820387686637,-309.5730037233787,-1205.0313941552895,0,0,0,0,0,0,0.9333333333333333,0.9333333333333333,11,18
1993-10-16,1993,Arsenal,Man City,0,0,D,0,1546.7447516834318,1493.3595106747914,271.0439967863137,567.5492961782511,0,0,0,0,0,0,1.5,1.25,4,16
1993-10-16,1993,Sheffield Weds,Wimbledon,2,2,D,0,1457.132384448344,1519.1846592167142,-334.54243405971357,577.6808466615706,0,0,0,0,0,0,1.9230769230769231,1.3076923076923077,7,6
1993-10-16,1993,Liverpool,Oldham,2,1,H,1,1495.2537840339683,1437.218924362892,-1225.045780040179,-904.0187672942478,0,0,0,0,0,0,2.0,1.0,9,21
1993-10-16,1993,Man United,Tottenham,2,1,H,1,1595.9209822823295,1523.7882203380036,875.4853861591849,587.8419381017251,0,0,0,0,0,0,1.5161290322580645,1.1935483870967742,1,15
1993-10-16,1993,Newcastle,QPR,1,2,A,-1,1518.4797259371594,1520.9492133340948,887.3160936494953,295.4952897182455,0,0,0,0,0,0,1.3636363636363635,1.0,3,8
1993-10-16,1993,Chelsea,Norwich,1,2,A,-1,1491.3626634725497,1553.2965725269526,308.78713849536996,297.5468491340031,0,0,0,0,0,0,1.8823529411764706,1.0,14,12
1993-10-16,1993,Swindon,Everton,1,1,D,0,1418.8561675237718,1491.040310599505,-915.7510932093248,-328.3795696672297,0,0,0,0,0,0,1.0,1.0,22,17
1993-10-16,1993,West Ham,Aston Villa,0,0,D,0,1483.4995800644413,1522.7696302707716,-11.355586329334665,291.2073215339368,0,0,0,0,0,0,1.24,1.0,13,10
1993-10-17,1993,Ipswich,Leeds,0,0,D,0,1483.9217930040788,1543.126364983956,-921.4800107744037,1484.076987597485,0,0,0,0,0,0,1.2857142857142858,0.8571428571428571,19,5
1993-10-18,1993,Blackburn,Sheffield United,0,0,D,0,1527.9668724495898,1460.3759688679027,289.0396700548211,-901.9268644911615,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,2,20
1993-10-23,1993,QPR,Coventry,5,1,H,1,1535.0918889443922,1486.9272055457907,301.6470151841576,-614.07935367906,0,0,0,0,0,0,1.6,1.2,8,11
1993-10-23,1993,Sheffield United,Sheffield Weds,1,1,D,0,1460.2359361399208,1457.272417176326,-601.4859432066665,-334.54243405971357,0,0,0,0,0,0,1.0,1.0,20,7
1993-10-23,1993,Leeds,Blackburn,3,3,D,0,1542.4722921017385,1528.6209453318072,1189.7775235187141,289.0396700548211,0,0,0,0,0,0,1.5294117647058822,1.0588235294117647,5,2
1993-10-23,1993,Aston Villa,Chelsea,1,0,H,1,1536.4173638733307,1477.7149298699906,-7.906579936981961,-1.8721760100205755,0,0,0,0,0,0,1.4464285714285714,1.1785714285714286,10,14
1993-10-23,1993,Everton,Man United,0,1,A,-1,1480.4356668758887,1606.5256260059457,-22.305569382666,888.0853152613403,0,0,0,0,0,0,1.596774193548387,1.1935483870967742,17,1
1993-10-23,1993,Norwich,West Ham,0,0,D,0,1550.3230877776646,1486.4730648137293,595.819381828513,301.730802111079,0,0,0,0,0,0,1.6153846153846154,1.1538461538461537,12,13
1993-10-23,1993,Man City,Liverpool,1,1,D,0,1493.4412922194258,1495.1720024893339,281.1676888280311,-630.134952467775,0,0,0,0,0,0,1.8461538461538463,1.0769230769230769,16,9
1993-10-23,1993,Tottenham,Swindon,1,1,D,0,1519.3908363176095,1423.253551544166,268.6577416452592,-620.7026980888161,0,0,0,0,0,0,1.0,1.0,15,22
1993-10-23,1993,Oldham,Arsenal,0,0,D,0,1441.7968822816765,1542.1667937646473,-905.6809201558665,271.0439967863137,0,0,0,0,0,0,0.0,0.0,21,4
1993-10-24,1993,Southampton,Newcastle,2,1,H,1,1434.0346145326437,1499.1271501731794,-902.9438999856587,583.1262509826763,0,0,0,0,0,0,2.1818181818181817,1.0909090909090908,18,3
1993-10-25,1993,Wimbledon,Ipswich,0,2,A,-1,1502.6674450231303,1500.4390071976627,288.4866432403336,-921.4800107744037,0,0,0,0,0,0,0.3333333333333333,1.0,6,19
1993-10-30,1993,Swindon,Aston Villa,1,2,A,-1,1412.9734851810617,1546.697430236435,-620.7026980888161,287.6364060370162,0,0,0,0,0,0,1.0,2.0,22,10
1993-10-30,1993,Chelsea,Oldham,0,1,A,-1,1461.1697239891157,1458.3420881625514,-618.587806289367,-603.7745426919058,0,0,0,0,0,0,0.0,1.0,14,21
1993-10-30,1993,Sheffield Weds,Leeds,3,3,D,0,1460.8787895571118,1538.8659197209527,-32.90346383411961,903.2311702970713,0,0,0,0,0,0,1.6923076923076923,1.6153846153846154,7,5
1993-10-30,1993,Arsenal,Norwich,0,0,D,0,1542.5188646095144,1549.9710169327975,-30.820747941265473,901.0420326042246,0,0,0,0,0,0,1.8823529411764706,1.1176470588235294,4,12
1993-10-30,1993,Man United,QPR,2,1,H,1,1618.4843179650904,1523.1331969852474,1485.5122091847904,897.3131992329108,0,0,0,0,0,0,1.8181818181818181,1.2727272727272727,1,8
1993-10-30,1993,Ipswich,Everton,0,2,A,-1,1484.5763465445145,1496.298327529037,-309.3469233151718,-635.117682669584,0,0,0,0,0,0,0.875,1.125,19,17
